time (YYYY-MM-DD-HH); significant wave height (m); zero-up-crossing period (s)
2003-11-04-01; 0.7146; 4.7255
2003-11-04-02; 0.6935; 4.8708
2003-11-04-03; 0.7063; 5.0929
2003-11-04-04; 0.7973; 5.2434
2003-11-04-05; 0.8671; 5.6062
2003-11-04-06; 0.8321; 6.0283
2003-11-04-07; 0.7451; 5.6087
2003-11-04-08; 0.8391; 4.1557
2003-11-04-09; 0.9089; 3.8797
2003-11-04-10; 0.8677; 3.6876
2003-11-04-11; 0.9370; 3.7615
2003-11-04-12; 0.8912; 3.6083
2003-11-04-13; 0.9954; 3.5544
2003-11-04-14; 1.0194; 3.5332
2003-11-04-15; 1.0418; 3.6798
2003-11-04-16; 1.1067; 3.7302
2003-11-04-17; 1.0403; 3.8629
2003-11-04-18; 0.9798; 3.6879
2003-11-04-19; 0.8889; 3.8104
2003-11-04-20; 0.9338; 4.1659
2003-11-04-21; 1.0022; 4.3176
2003-11-04-22; 0.9777; 4.0381
2003-11-04-23; 1.0175; 4.2648
2003-11-05-00; 0.9542; 4.1292
2003-11-05-01; 0.9577; 4.0422
2003-11-05-02; 0.9635; 4.0348
2003-11-05-03; 0.9275; 4.1291
2003-11-05-04; 0.9127; 4.0247
2003-11-05-05; 1.0234; 4.1691
2003-11-05-06; 1.0849; 4.2118
2003-11-05-07; 1.0878; 4.1435
2003-11-05-08; 1.0798; 4.2458
2003-11-05-09; 0.9219; 4.0329
2003-11-05-10; 0.9529; 4.2393
2003-11-05-11; 0.9155; 4.1803
2003-11-05-12; 0.9545; 4.2376
2003-11-05-13; 0.9731; 4.1398
2003-11-05-14; 0.9087; 4.0743
2003-11-05-15; 0.9881; 4.2695
2003-11-05-16; 0.9808; 4.6534
2003-11-05-17; 0.9494; 4.7998
2003-11-05-18; 1.0097; 5.0157
2003-11-05-19; 1.0848; 5.2533
2003-11-05-20; 1.0703; 5.2363
2003-11-05-21; 1.1991; 5.4290
2003-11-05-22; 1.2247; 5.6302
2003-11-05-23; 1.1013; 5.4217
2003-11-06-00; 1.1069; 5.6215
2003-11-06-01; 1.0783; 5.5589
2003-11-06-02; 0.9442; 5.3539
2003-11-06-03; 1.0061; 5.3578
2003-11-06-04; 1.0539; 5.1482
2003-11-06-05; 0.9756; 4.7507
2003-11-06-06; 0.9703; 4.7780
2003-11-06-07; 0.8609; 4.4903
2003-11-06-08; 0.8137; 4.5609
2003-11-06-09; 0.7967; 4.7468
2003-11-06-10; 0.7846; 4.8146
2003-11-06-11; 0.7459; 4.5355
2003-11-06-12; 0.7434; 4.7397
2003-11-06-13; 0.6570; 4.8650
2003-11-06-14; 0.6224; 4.6513
2003-11-06-15; 0.5733; 4.3314
2003-11-06-16; 0.5505; 4.2381
2003-11-06-17; 0.5568; 4.5959
2003-11-06-18; 0.5534; 4.7832
2003-11-06-19; 0.5508; 5.0742
2003-11-06-20; 0.5257; 5.1620
2003-11-06-21; 0.4769; 5.0951
2003-11-06-22; 0.4423; 5.0710
2003-11-06-23; 0.4661; 5.3019
2003-11-07-00; 0.4965; 5.6656
2003-11-07-01; 0.5474; 5.8025
2003-11-07-02; 0.5657; 6.0340
2003-11-07-03; 0.6172; 6.3181
2003-11-07-04; 0.7714; 6.5048
2003-11-07-05; 0.7896; 6.2814
2003-11-07-06; 0.8190; 6.4538
2003-11-07-07; 0.6773; 6.3082
2003-11-07-08; 0.6694; 6.1789
2003-11-07-09; 0.6056; 5.1098
2003-11-07-10; 0.6086; 4.4948
2003-11-07-11; 0.6517; 4.1905
2003-11-07-12; 0.7778; 4.2862
2003-11-07-13; 0.7979; 3.9515
2003-11-07-14; 0.8078; 4.0822
2003-11-07-15; 0.7995; 4.5420
2003-11-07-16; 0.7397; 4.6848
2003-11-07-17; 0.6668; 4.8198
2003-11-07-18; 0.6216; 5.0955
2003-11-07-19; 0.6039; 5.8595
2003-11-07-20; 0.5270; 5.4324
2003-11-07-21; 0.5182; 5.3537
2003-11-07-22; 0.6184; 4.5824
2003-11-07-23; 0.6533; 3.8669
2003-11-08-00; 0.6941; 3.7118
2003-11-08-01; 0.7812; 3.5603
2003-11-08-02; 0.8169; 3.7082
2003-11-08-03; 0.8137; 3.6061
2003-11-08-04; 0.7902; 3.8015
2003-11-08-05; 0.6754; 3.6945
2003-11-08-06; 0.6871; 3.6202
2003-11-08-07; 0.5840; 3.7742
2003-11-08-08; 0.5519; 3.4800
2003-11-08-09; 0.5627; 3.1185
2003-11-08-10; 0.5061; 3.1339
2003-11-08-11; 0.5472; 3.0950
2003-11-08-12; 0.5666; 3.0465
2003-11-08-13; 0.5813; 3.0173
2003-11-08-14; 0.6783; 2.9820
2003-11-08-15; 0.6998; 3.1162
2003-11-08-16; 0.6293; 3.0225
2003-11-08-17; 0.7101; 2.9145
2003-11-08-18; 0.6768; 2.8951
2003-11-08-19; 0.6006; 2.9165
2003-11-08-20; 0.7380; 2.9882
2003-11-08-21; 0.6868; 2.9815
2003-11-08-22; 0.5802; 2.8397
2003-11-08-23; 0.6860; 3.0054
2003-11-09-00; 0.6724; 3.0097
2003-11-09-01; 0.4592; 2.8122
2003-11-09-02; 0.3841; 2.6639
2003-11-09-03; 0.3228; 2.5685
2003-11-09-04; 0.3030; 2.8067
2003-11-09-05; 0.2701; 2.5261
2003-11-09-06; 0.3191; 2.5751
2003-11-09-07; 0.2500; 2.4861
2003-11-09-08; 0.1538; 2.3620
2003-11-09-09; 0.1657; 2.8614
2003-11-09-10; 0.2002; 2.4894
2003-11-09-11; 0.2369; 2.6207
2003-11-09-12; 0.3259; 2.7306
2003-11-09-13; 0.2824; 2.6463
2003-11-09-14; 0.2147; 2.5059
2003-11-09-15; 0.2693; 2.6496
2003-11-09-16; 0.2817; 2.5551
2003-11-09-17; 0.2436; 2.6129
2003-11-09-18; 0.2532; 2.4495
2003-11-09-19; 0.1878; 2.4260
2003-11-09-20; 0.1951; 2.5081
2003-11-09-21; 0.2796; 2.5577
2003-11-09-22; 0.2394; 2.5714
2003-11-09-23; 0.1920; 2.6553
2003-11-10-00; 0.3439; 2.9086
2003-11-10-01; 0.3928; 2.8979
2003-11-10-02; 0.3702; 2.7679
2003-11-10-03; 0.3403; 2.7360
2003-11-10-04; 0.2745; 2.7561
2003-11-10-05; 0.2109; 2.7121
2003-11-10-06; 0.2873; 2.7992
2003-11-10-07; 0.3681; 2.9466
2003-11-10-08; 0.3772; 2.9921
2003-11-10-09; 0.4093; 3.1834
2003-11-10-10; 0.2942; 3.1220
2003-11-10-11; 0.2915; 3.1271
2003-11-10-12; 0.2564; 3.2408
2003-11-10-13; 0.2942; 3.1048
2003-11-10-14; 0.2887; 3.0276
2003-11-10-15; 0.3023; 3.0179
2003-11-10-16; 0.2873; 2.9536
2003-11-10-17; 0.3332; 2.9476
2003-11-10-18; 0.4763; 2.9704
2003-11-10-19; 0.5962; 3.2519
2003-11-10-20; 0.6836; 3.3866
2003-11-10-21; 0.7995; 3.5901
2003-11-10-22; 0.7092; 3.5481
2003-11-10-23; 0.5537; 3.3866
2003-11-11-00; 0.4477; 3.2982
2003-11-11-01; 0.3793; 3.2337
2003-11-11-02; 0.3581; 3.2084
2003-11-11-03; 0.3708; 3.4317
2003-11-11-04; 0.3861; 3.4152
2003-11-11-05; 0.3908; 3.5902
2003-11-11-06; 0.3716; 3.7336
2003-11-11-07; 0.4180; 3.8080
2003-11-11-08; 0.3578; 3.7579
2003-11-11-09; 0.3153; 3.7261
2003-11-11-10; 0.3268; 3.7334
2003-11-11-11; 0.3076; 3.7106
2003-11-11-12; 0.2774; 3.5967
2003-11-11-13; 0.2774; 3.4926
2003-11-11-14; 0.2686; 3.2801
2003-11-11-15; 0.2852; 3.2573
2003-11-11-16; 0.2810; 3.1475
2003-11-11-17; 0.3023; 2.7657
2003-11-11-18; 0.3197; 2.7711
2003-11-11-19; 0.3259; 2.8755
2003-11-11-20; 0.3314; 3.1114
2003-11-11-21; 0.3476; 3.1718
2003-11-11-22; 0.3713; 3.1596
2003-11-11-23; 0.4788; 3.1119
2003-11-12-00; 0.6958; 3.3384
2003-11-12-01; 0.8938; 3.7057
2003-11-12-02; 0.9373; 3.8093
2003-11-12-03; 1.0114; 3.8267
2003-11-12-04; 1.0890; 3.8576
2003-11-12-05; 1.0354; 3.9122
2003-11-12-06; 0.9345; 3.9814
2003-11-12-07; 1.0196; 4.3539
2003-11-12-08; 0.8432; 4.2515
2003-11-12-09; 0.7684; 4.3282
2003-11-12-10; 0.7339; 4.3061
2003-11-12-11; 0.7544; 4.4177
2003-11-12-12; 0.6406; 4.2504
2003-11-12-13; 0.5278; 4.1794
2003-11-12-14; 0.4801; 4.0636
2003-11-12-15; 0.5222; 4.0766
2003-11-12-16; 0.4969; 3.9783
2003-11-12-17; 0.4855; 3.9880
2003-11-12-18; 0.4477; 3.9765
2003-11-12-19; 0.4618; 3.6988
2003-11-12-20; 0.5163; 3.6851
2003-11-12-21; 0.5383; 3.7332
2003-11-12-22; 0.4548; 3.5623
2003-11-12-23; 0.3892; 3.6801
2003-11-13-00; 0.4173; 3.8993
2003-11-13-01; 0.3590; 4.3775
2003-11-13-02; 0.4029; 5.0527
2003-11-13-03; 0.4395; 5.1695
2003-11-13-04; 0.4875; 5.1998
2003-11-13-05; 0.5722; 4.9909
2003-11-13-06; 0.6082; 4.1828
2003-11-13-07; 0.8033; 4.1850
2003-11-13-08; 0.9082; 3.8985
2003-11-13-09; 1.1209; 4.0574
2003-11-13-10; 1.6147; 4.2362
2003-11-13-11; 1.7812; 4.4544
2003-11-13-12; 2.2347; 4.8359
2003-11-13-13; 2.4508; 5.2266
2003-11-13-14; 2.0369; 4.8931
2003-11-13-15; 1.7521; 5.2473
2003-11-13-16; 1.5020; 5.6859
2003-11-13-17; 1.4089; 5.5996
2003-11-13-18; 1.5634; 4.8004
2003-11-13-19; 1.6358; 4.4349
2003-11-13-20; 1.6184; 4.3405
2003-11-13-21; 1.6056; 4.2770
2003-11-13-22; 1.5571; 4.4537
2003-11-13-23; 1.5189; 4.4056
2003-11-14-00; 1.5775; 4.5761
2003-11-14-01; 1.6565; 4.4561
2003-11-14-02; 1.6773; 4.5159
2003-11-14-03; 1.5382; 4.2419
2003-11-14-04; 1.6306; 4.2597
2003-11-14-05; 1.6499; 4.1723
2003-11-14-06; 1.6088; 4.0443
2003-11-14-07; 1.5256; 3.9468
2003-11-14-08; 1.4556; 3.8645
2003-11-14-09; 1.2926; 3.7373
2003-11-14-10; 1.0437; 3.3640
2003-11-14-11; 1.0431; 3.3674
2003-11-14-12; 1.0215; 3.4109
2003-11-14-13; 1.0191; 3.4106
2003-11-14-14; 1.1057; 3.5054
2003-11-14-15; 1.1329; 3.5713
2003-11-14-16; 1.1584; 3.5526
2003-11-14-17; 1.2084; 3.5296
2003-11-14-18; 1.2649; 3.5975
2003-11-14-19; 1.0971; 3.4971
2003-11-14-20; 1.1662; 3.4922
2003-11-14-21; 1.1111; 3.4759
2003-11-14-22; 1.1116; 3.4535
2003-11-14-23; 0.9522; 3.2644
2003-11-15-00; 0.9664; 3.2393
2003-11-15-01; 0.9754; 3.1954
2003-11-15-02; 0.7915; 3.2084
2003-11-15-03; 0.6634; 3.1634
2003-11-15-04; 0.6981; 3.0885
2003-11-15-05; 0.5929; 2.9450
2003-11-15-06; 0.5145; 2.9570
2003-11-15-07; 0.5361; 2.9215
2003-11-15-08; 0.4838; 2.8291
2003-11-15-09; 0.4838; 2.8268
2003-11-15-10; 0.4877; 2.7448
2003-11-15-11; 0.5116; 2.6590
2003-11-15-12; 0.4850; 2.6997
2003-11-15-13; 0.4445; 2.6354
2003-11-15-14; 0.3683; 2.6500
2003-11-15-15; 0.4247; 2.6533
2003-11-15-16; 0.4900; 2.6631
2003-11-15-17; 0.5304; 2.8427
2003-11-15-18; 0.5159; 2.7152
2003-11-15-19; 0.5464; 2.7172
2003-11-15-20; 0.6072; 2.8133
2003-11-15-21; 0.5989; 2.8302
2003-11-15-22; 0.5705; 2.8815
2003-11-15-23; 0.4669; 2.9181
2003-11-16-00; 0.4481; 2.9052
2003-11-16-01; 0.3311; 2.7445
2003-11-16-02; 0.4263; 2.5212
2003-11-16-03; 0.3491; 2.5697
2003-11-16-04; 0.3943; 2.7525
2003-11-16-05; 0.2824; 2.6086
2003-11-16-06; 0.2730; 2.5063
2003-11-16-07; 0.1791; 2.5254
2003-11-16-08; 0.1982; 2.8490
2003-11-16-09; 0.2061; 2.9911
2003-11-16-10; 0.1951; 2.9901
2003-11-16-11; 0.1544; 2.8597
2003-11-16-12; 0.1409; 2.8854
2003-11-16-13; 0.1350; 10.2697
2003-11-16-14; 0.1824; 4.6309
2003-11-16-15; 0.1774; 4.9578
2003-11-16-16; 0.1920; 3.8590
2003-11-16-17; 0.1595; 4.2296
2003-11-16-18; 0.1889; 8.5531
2003-11-16-19; 0.1835; 6.5588
2003-11-16-20; 0.1762; 6.4138
2003-11-16-21; 0.2595; 3.1226
2003-11-16-22; 0.3101; 2.9184
2003-11-16-23; 0.2500; 2.9149
2003-11-17-00; 0.2431; 3.4788
2003-11-17-01; 0.2419; 3.0990
2003-11-17-02; 0.2431; 3.3633
2003-11-17-03; 0.2419; 3.3549
2003-11-17-04; 0.2701; 3.6713
2003-11-17-05; 0.2686; 3.2180
2003-11-17-06; 0.2831; 2.7775
2003-11-17-07; 0.3751; 2.9227
2003-11-17-08; 0.3642; 3.0509
2003-11-17-09; 0.3767; 2.9718
2003-11-17-10; 0.3851; 3.1062
2003-11-17-11; 0.3861; 2.9582
2003-11-17-12; 0.4270; 2.9740
2003-11-17-13; 0.4400; 2.9798
2003-11-17-14; 0.4600; 3.0958
2003-11-17-15; 0.4411; 3.1007
2003-11-17-16; 0.4093; 3.1234
2003-11-17-17; 0.3769; 3.1984
2003-11-17-18; 0.3745; 3.0815
2003-11-17-19; 0.3664; 3.1108
2003-11-17-20; 0.3450; 3.1755
2003-11-17-21; 0.3398; 3.4288
2003-11-17-22; 0.2852; 3.5338
2003-11-17-23; 0.2741; 4.0095
2003-11-18-00; 0.2648; 4.0151
2003-11-18-01; 0.2356; 5.2064
2003-11-18-02; 0.2929; 5.1242
2003-11-18-03; 0.2564; 5.6423
2003-11-18-04; 0.2778; 3.8195
2003-11-18-05; 0.2799; 4.3411
2003-11-18-06; 0.2440; 4.9410
2003-11-18-07; 0.2741; 5.1347
2003-11-18-08; 0.2667; 6.0754
2003-11-18-09; 0.2398; 5.1524
2003-11-18-10; 0.2161; 5.6970
2003-11-18-11; 0.2484; 5.1011
2003-11-18-12; 0.2806; 4.3875
2003-11-18-13; 0.2456; 4.3317
2003-11-18-14; 0.2849; 4.8061
2003-11-18-15; 0.3184; 4.6366
2003-11-18-16; 0.2877; 4.6595
2003-11-18-17; 0.3033; 5.2990
2003-11-18-18; 0.2936; 7.6901
2003-11-18-19; 0.2583; 4.6634
2003-11-18-20; 0.2667; 5.6736
2003-11-18-21; 0.2220; 6.0229
2003-11-18-22; 0.2283; 7.0606
2003-11-18-23; 0.2468; 3.7681
2003-11-19-00; 0.3003; 2.7144
2003-11-19-01; 0.3864; 2.9187
2003-11-19-02; 0.5717; 3.0719
2003-11-19-03; 0.7335; 3.3889
2003-11-19-04; 0.8013; 3.5121
2003-11-19-05; 0.9059; 3.6510
2003-11-19-06; 0.8870; 3.6979
2003-11-19-07; 0.9736; 3.7241
2003-11-19-08; 0.9618; 3.8495
2003-11-19-09; 0.9246; 3.8602
2003-11-19-10; 0.8713; 3.8516
2003-11-19-11; 0.8089; 3.8251
2003-11-19-12; 0.8112; 3.8985
2003-11-19-13; 0.8611; 3.8162
2003-11-19-14; 0.8991; 3.8954
2003-11-19-15; 0.9036; 3.9845
2003-11-19-16; 0.9050; 3.9475
2003-11-19-17; 0.9124; 4.0296
2003-11-19-18; 1.0836; 4.0286
2003-11-19-19; 1.1088; 4.0044
2003-11-19-20; 1.1483; 3.9863
2003-11-19-21; 1.3596; 4.1345
2003-11-19-22; 1.5957; 4.4485
2003-11-19-23; 1.5626; 4.4152
2003-11-20-00; 1.8451; 4.6325
2003-11-20-01; 1.8746; 4.7691
2003-11-20-02; 2.2683; 5.0561
2003-11-20-03; 2.3632; 5.2980
2003-11-20-04; 2.3540; 5.4382
2003-11-20-05; 2.5369; 5.5532
2003-11-20-06; 2.9154; 5.7489
2003-11-20-07; 2.6355; 5.6814
2003-11-20-08; 2.5326; 5.5170
2003-11-20-09; 2.6912; 5.8682
2003-11-20-10; 2.7411; 5.7048
2003-11-20-11; 2.5025; 5.5517
2003-11-20-12; 2.4850; 5.4042
2003-11-20-13; 2.3949; 5.4857
2003-11-20-14; 2.4057; 5.5716
2003-11-20-15; 2.5720; 5.9287
2003-11-20-16; 2.3631; 6.0066
2003-11-20-17; 2.1043; 5.4957
2003-11-20-18; 1.8119; 5.3943
2003-11-20-19; 1.8860; 5.4465
2003-11-20-20; 1.5951; 5.3065
2003-11-20-21; 1.5040; 5.2568
2003-11-20-22; 1.5620; 5.2467
2003-11-20-23; 1.4023; 4.8684
2003-11-21-00; 1.4525; 4.9680
2003-11-21-01; 1.4653; 4.4394
2003-11-21-02; 1.5086; 4.4640
2003-11-21-03; 1.5128; 4.4498
2003-11-21-04; 1.5921; 5.0182
2003-11-21-05; 1.6466; 5.4416
2003-11-21-06; 1.8444; 5.9331
2003-11-21-07; 2.1560; 6.2964
2003-11-21-08; 2.3504; 6.5687
2003-11-21-09; 2.5222; 7.2099
2003-11-21-10; 2.4519; 7.0394
2003-11-21-11; 2.1891; 6.6325
2003-11-21-12; 2.2571; 7.1841
2003-11-21-13; 2.3177; 7.0007
2003-11-21-14; 2.0298; 6.2986
2003-11-21-15; 2.2012; 7.0185
2003-11-21-16; 2.3565; 7.9715
2003-11-21-17; 2.6132; 8.4373
2003-11-21-18; 2.6937; 8.3740
2003-11-21-19; 2.4481; 8.0100
2003-11-21-20; 2.6543; 8.5032
2003-11-21-21; 2.3506; 7.9081
2003-11-21-22; 2.1221; 7.5915
2003-11-21-23; 2.0070; 7.8416
2003-11-22-00; 1.7008; 7.3099
2003-11-22-01; 1.6679; 7.3422
2003-11-22-02; 1.4707; 7.1901
2003-11-22-03; 1.5720; 7.6806
2003-11-22-04; 1.5305; 7.7850
2003-11-22-05; 1.3798; 7.6918
2003-11-22-06; 1.5266; 8.0186
2003-11-22-07; 1.6229; 8.3214
2003-11-22-08; 1.5342; 8.0668
2003-11-22-09; 1.4463; 7.4337
2003-11-22-10; 1.5331; 6.0954
2003-11-22-11; 1.4533; 5.9569
2003-11-22-12; 1.3467; 5.7825
2003-11-22-13; 1.3237; 5.4175
2003-11-22-14; 1.1359; 4.6074
2003-11-22-15; 1.0754; 4.3792
2003-11-22-16; 1.1035; 4.8089
2003-11-22-17; 1.0951; 5.1066
2003-11-22-18; 1.1674; 5.7530
2003-11-22-19; 1.4602; 6.8987
2003-11-22-20; 1.6361; 7.5186
2003-11-22-21; 1.6496; 7.5165
2003-11-22-22; 1.3999; 7.1528
2003-11-22-23; 1.4563; 7.1142
2003-11-23-00; 1.2138; 5.9338
2003-11-23-01; 1.2559; 5.6994
2003-11-23-02; 1.2256; 5.2749
2003-11-23-03; 1.2722; 4.9987
2003-11-23-04; 1.4829; 5.1121
2003-11-23-05; 1.6957; 5.3857
2003-11-23-06; 1.6350; 5.1971
2003-11-23-07; 1.7814; 5.5930
2003-11-23-08; 1.9747; 6.3165
2003-11-23-09; 1.9976; 6.3696
2003-11-23-10; 1.9158; 5.8153
2003-11-23-11; 1.6927; 5.5114
2003-11-23-12; 1.6782; 5.5366
2003-11-23-13; 1.5998; 5.4892
2003-11-23-14; 1.4224; 4.8748
2003-11-23-15; 1.5085; 5.2816
2003-11-23-16; 1.4973; 5.4658
2003-11-23-17; 1.5004; 5.8635
2003-11-23-18; 1.6139; 6.6679
2003-11-23-19; 1.8213; 7.6125
2003-11-23-20; 1.6433; 7.1119
2003-11-23-21; 1.5622; 7.4977
2003-11-23-22; 1.5387; 7.2354
2003-11-23-23; 1.3849; 6.8653
2003-11-24-00; 1.3081; 7.0979
2003-11-24-01; 1.2489; 6.8686
2003-11-24-02; 1.2441; 6.4931
2003-11-24-03; 1.1991; 6.2353
2003-11-24-04; 1.2344; 5.9403
2003-11-24-05; 1.3258; 6.4129
2003-11-24-06; 1.1249; 5.9776
2003-11-24-07; 1.3936; 7.0191
2003-11-24-08; 1.5840; 7.5329
2003-11-24-09; 1.5755; 7.5498
2003-11-24-10; 1.6078; 7.7167
2003-11-24-11; 1.6496; 7.8363
2003-11-24-12; 1.2818; 6.9588
2003-11-24-13; 1.4451; 7.2133
2003-11-24-14; 1.2796; 6.4867
2003-11-24-15; 1.3515; 6.7460
2003-11-24-16; 1.1065; 6.3391
2003-11-24-17; 1.1611; 6.6070
2003-11-24-18; 1.1730; 6.8454
2003-11-24-19; 1.1523; 6.6399
2003-11-24-20; 1.3299; 7.2137
2003-11-24-21; 1.4146; 7.4424
2003-11-24-22; 1.6216; 7.9225
2003-11-24-23; 1.4949; 7.4139
2003-11-25-00; 1.5628; 6.6799
2003-11-25-01; 1.5009; 6.6150
2003-11-25-02; 1.2132; 5.9206
2003-11-25-03; 1.3185; 5.7129
2003-11-25-04; 1.3483; 5.6543
2003-11-25-05; 1.2650; 5.1952
2003-11-25-06; 1.2650; 5.0452
2003-11-25-07; 1.3705; 5.4964
2003-11-25-08; 1.4523; 6.2001
2003-11-25-09; 1.5439; 7.1933
2003-11-25-10; 1.5440; 6.9750
2003-11-25-11; 1.7658; 8.0284
2003-11-25-12; 1.3867; 6.7510
2003-11-25-13; 1.2425; 5.6237
2003-11-25-14; 1.2174; 5.5930
2003-11-25-15; 1.1235; 5.3734
2003-11-25-16; 0.9964; 4.7886
2003-11-25-17; 0.9677; 5.0824
2003-11-25-18; 0.9288; 6.0029
2003-11-25-19; 0.9877; 6.0194
2003-11-25-20; 0.9696; 6.6888
2003-11-25-21; 0.9022; 7.6598
2003-11-25-22; 1.1122; 8.3023
2003-11-25-23; 1.1486; 7.8296
2003-11-26-00; 1.2722; 7.0097
2003-11-26-01; 1.0875; 6.1666
2003-11-26-02; 0.9053; 6.4099
2003-11-26-03; 0.8781; 5.9081
2003-11-26-04; 0.8231; 5.6265
2003-11-26-05; 0.7844; 6.1648
2003-11-26-06; 0.6961; 6.3287
2003-11-26-07; 0.8038; 7.2953
2003-11-26-08; 0.7365; 6.9999
2003-11-26-09; 0.7634; 7.6026
2003-11-26-10; 0.8496; 8.0466
2003-11-26-11; 0.8903; 7.3392
2003-11-26-12; 0.7960; 6.9861
2003-11-26-13; 0.9574; 7.4109
2003-11-26-14; 0.8195; 7.1454
2003-11-26-15; 0.7674; 6.8090
2003-11-26-16; 0.6873; 6.2680
2003-11-26-17; 0.7126; 5.1062
2003-11-26-18; 0.6532; 4.2901
2003-11-26-19; 0.7164; 4.1056
2003-11-26-20; 0.7013; 4.3976
2003-11-26-21; 0.7081; 4.4214
2003-11-26-22; 0.7386; 4.8119
2003-11-26-23; 0.6724; 4.1870
2003-11-27-00; 0.7994; 4.7161
2003-11-27-01; 0.8259; 4.9115
2003-11-27-02; 0.7475; 4.9088
2003-11-27-03; 0.7374; 5.1274
2003-11-27-04; 0.6748; 4.9603
2003-11-27-05; 0.6250; 4.7249
2003-11-27-06; 0.5890; 4.7009
2003-11-27-07; 0.5508; 4.6740
2003-11-27-08; 0.5088; 4.8118
2003-11-27-09; 0.4859; 5.1571
2003-11-27-10; 0.5043; 4.7737
2003-11-27-11; 0.5135; 5.0745
2003-11-27-12; 0.5106; 4.8975
2003-11-27-13; 0.5673; 4.4714
2003-11-27-14; 0.6049; 4.8765
2003-11-27-15; 0.6064; 5.0691
2003-11-27-16; 0.6023; 5.4181
2003-11-27-17; 0.6019; 5.6023
2003-11-27-18; 0.5616; 5.1379
2003-11-27-19; 0.5197; 4.6489
2003-11-27-20; 0.4850; 4.4421
2003-11-27-21; 0.4733; 4.6776
2003-11-27-22; 0.4693; 4.4549
2003-11-28-00; 0.4949; 3.9507
2003-11-28-01; 0.5764; 4.6289
2003-11-28-02; 0.5655; 4.7259
2003-11-28-03; 0.5823; 5.0395
2003-11-28-04; 0.6066; 4.9081
2003-11-28-05; 0.6386; 4.8871
2003-11-28-06; 0.5961; 4.7686
2003-11-28-07; 0.6090; 4.7171
2003-11-28-08; 0.5790; 4.8345
2003-11-28-09; 0.5439; 4.5238
2003-11-28-10; 0.5106; 4.4618
2003-11-28-11; 0.5188; 4.6348
2003-11-28-12; 0.4541; 4.3398
2003-11-28-13; 0.5163; 4.9749
2003-11-28-14; 0.4803; 5.1599
2003-11-28-15; 0.5135; 5.0827
2003-11-28-16; 0.5073; 5.2598
2003-11-28-17; 0.5163; 5.2738
2003-11-28-18; 0.5255; 5.0830
2003-11-28-19; 0.5759; 4.3231
2003-11-28-20; 0.6104; 3.9415
2003-11-28-21; 0.6868; 3.9507
2003-11-28-22; 0.7525; 3.7001
2003-11-28-23; 0.9371; 3.8072
2003-11-29-00; 1.1767; 4.0384
2003-11-29-01; 1.2276; 4.1918
2003-11-29-02; 1.5537; 4.3725
2003-11-29-03; 1.6370; 4.4423
2003-11-29-04; 1.7810; 4.5677
2003-11-29-05; 2.1579; 4.8457
2003-11-29-06; 2.1167; 4.9521
2003-11-29-07; 2.1703; 4.9806
2003-11-29-08; 2.6780; 5.4640
2003-11-29-09; 3.0817; 5.6887
2003-11-29-10; 3.2258; 6.0370
2003-11-29-11; 3.1815; 6.0237
2003-11-29-12; 3.3675; 6.1983
2003-11-29-13; 3.2095; 5.9642
2003-11-29-14; 3.0143; 5.9229
2003-11-29-15; 2.7874; 5.8290
2003-11-29-16; 2.7928; 5.9204
2003-11-29-17; 2.9152; 5.9705
2003-11-29-18; 2.7566; 5.6182
2003-11-29-19; 2.9105; 5.7067
2003-11-29-20; 2.8876; 5.6437
2003-11-29-21; 3.1248; 5.8475
2003-11-29-22; 2.6135; 5.5934
2003-11-29-23; 2.7163; 5.7415
2003-11-30-00; 2.4238; 5.5316
2003-11-30-01; 2.3274; 5.6521
2003-11-30-02; 1.9990; 5.2680
2003-11-30-03; 2.0090; 5.0797
2003-11-30-04; 2.2114; 5.2017
2003-11-30-05; 1.8660; 4.9050
2003-11-30-06; 1.6496; 4.9774
2003-11-30-07; 1.5689; 4.9000
2003-11-30-08; 1.5429; 4.6482
2003-11-30-09; 1.5183; 4.7402
2003-11-30-10; 1.4601; 4.5697
2003-11-30-11; 1.6543; 4.6069
2003-11-30-12; 1.6480; 4.5935
2003-11-30-13; 1.6268; 4.4569
2003-11-30-14; 1.6120; 4.6677
2003-11-30-15; 1.7631; 4.8486
2003-11-30-16; 1.4723; 4.5637
2003-11-30-17; 1.4750; 4.6904
2003-11-30-18; 1.2285; 4.5771
2003-11-30-19; 1.1446; 4.4595
2003-11-30-20; 1.0594; 4.7171
2003-11-30-21; 1.0446; 4.4069
2003-11-30-22; 1.0047; 4.2951
2003-11-30-23; 1.0875; 4.4628
2003-12-01-00; 1.1217; 4.6086
2003-12-01-01; 1.0703; 4.1810
2003-12-01-02; 1.2222; 4.1487
2003-12-01-03; 1.2052; 4.0613
2003-12-01-04; 1.1700; 3.9962
2003-12-01-05; 1.2483; 4.0897
2003-12-01-06; 1.1410; 4.1258
2003-12-01-07; 1.1377; 3.9914
2003-12-01-08; 1.1984; 4.0583
2003-12-01-09; 1.3427; 4.0667
2003-12-01-10; 1.5720; 4.3929
2003-12-01-11; 1.6175; 4.3633
2003-12-01-12; 1.4653; 4.3308
2003-12-01-13; 1.5693; 4.5250
2003-12-01-14; 1.4783; 4.4794
2003-12-01-15; 1.5080; 4.3941
2003-12-01-16; 1.4516; 4.2552
2003-12-01-17; 1.5658; 3.9606
